0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000150]=0x00000020
0x800000bc:beq    t0,zero,0x008       (0x00000020==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x20
0x800000c4:addi   a1,a1,0x001         a1=0x80000150+0x00000001=0x80000151
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000151]=0x00000073
0x800000bc:beq    t0,zero,0x008       (0x00000073==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x73
0x800000c4:addi   a1,a1,0x001         a1=0x80000151+0x00000001=0x80000152
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000152]=0x00000061
0x800000bc:beq    t0,zero,0x008       (0x00000061==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x61
0x800000c4:addi   a1,a1,0x001         a1=0x80000152+0x00000001=0x80000153
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000153]=0x00000079
0x800000bc:beq    t0,zero,0x008       (0x00000079==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x79
0x800000c4:addi   a1,a1,0x001         a1=0x80000153+0x00000001=0x80000154
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000154]=0x00000073
0x800000bc:beq    t0,zero,0x008       (0x00000073==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x73
0x800000c4:addi   a1,a1,0x001         a1=0x80000154+0x00000001=0x80000155
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000155]=0x0000003a
0x800000bc:beq    t0,zero,0x008       (0x0000003a==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x3a
0x800000c4:addi   a1,a1,0x001         a1=0x80000155+0x00000001=0x80000156
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000156]=0x00000020
0x800000bc:beq    t0,zero,0x008       (0x00000020==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x20
0x800000c4:addi   a1,a1,0x001         a1=0x80000156+0x00000001=0x80000157
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000157]=0x00000000
0x800000bc:beq    t0,zero,0x008       (0x00000000==0x00000000)=1->pc=0x800000cc
0x800000cc:jalr   zero,ra,0x000       pc=0x80000114+0x00000000,zero=0x800000d0
0x80000114:auipc  a1,0x00000          a1=0x80000114+0x00000000=0x80000114
0x80000118:addi   a1,a1,0x01c         a1=0x80000114+0x0000001c=0x80000130
0x8000011c:jal    ra,0xfffce          pc=0x800000b8,ra=0x80000120
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000130]=0x00000048
0x800000bc:beq    t0,zero,0x008       (0x00000048==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x48
0x800000c4:addi   a1,a1,0x001         a1=0x80000130+0x00000001=0x80000131
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000131]=0x00000065
0x800000bc:beq    t0,zero,0x008       (0x00000065==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x65
0x800000c4:addi   a1,a1,0x001         a1=0x80000131+0x00000001=0x80000132
